Designator,Mid X,Mid Y,Rotation,Layer
BOOT0,-123.952,191.008,270.0,top
C1,-95.3328,110.6008,270.0,top
C10,-93.98,33.02,270.0,top
C11,-103.378,178.816,270.0,top
C12,-70.6688,178.7842,270.0,top
C13,-80.264,109.855,180.0,top
C14,-77.5,141.5,180.0,top
C15,-77.5,125.0,180.0,top
C16,-77.5,136.0,180.0,top
C17,-77.5,130.25,180.0,top
C18,-71.5,121.5,270.0,top
C19,-65.0,121.5,270.0,top
C2,-13.208,33.02,270.0,top
C20,-48.514,142.0622,270.0,top
C21,-77.5,128.5,180.0,top
C22,-20.828,170.421,270.0,top
C23,-7.112,200.914,0.0,top
C24,-35.052,170.561,270.0,top
C25,-60.0,121.5,270.0,top
C26,-55.0,121.5,270.0,top
C27,-50.0,132.0,0.0,top
C28,-43.434,89.4334,90.0,top
C29,-77.8,98.8,180.0,top
C3,-71.12,33.02,270.0,top
C30,-31.115,109.921,90.0,top
C31,-50.0,137.5,0.0,top
C32,-30.6578,114.2492,0.0,top
C33,-49.1,98.6,0.0,top
C34,-51.816,146.4564,90.0,top
C35,-48.8,79.4,90.0,top
C36,-61.0,149.0,90.0,top
C37,-66.0,149.0,90.0,top
C38,-72.4916,149.0,90.0,top
C39,-77.5,126.75,180.0,top
C4,-82.55,33.02,270.0,top
C40,-77.5,91.0,180.0,top
C41,-77.5,87.25,180.0,top
C42,-66.75,75.0,270.0,top
C43,-62.25,75.0,270.0,top
C44,-49.5,86.0,0.0,top
C45,-49.5,93.25,0.0,top
C46,-62.5,103.0,90.0,top
C47,-64.25,103.0,90.0,top
C48,-77.5,92.75,180.0,top
C49,-77.5,89.0,180.0,top
C5,-120.015,180.149,270.0,top
C50,-77.5,85.5,180.0,top
C51,-65.0,75.0,270.0,top
C52,-59.5,75.0,270.0,top
C53,-49.5,87.75,0.0,top
C54,-49.5046,89.535,0.0,top
C55,-49.5,91.5,0.0,top
C56,-50.8,79.37,90.0,top
C57,-77.8,97.0,180.0,top
C58,-49.1,96.8,0.0,top
C59,-105.41,178.689,270.0,top
C6,-57.0,121.25,270.0,top
C60,-126.238,26.67,90.0,top
C61,-67.056,19.939,180.0,top
C62,-67.31,46.355,270.0,top
C63,-89.535,46.355,270.0,top
C64,-72.7008,178.689,270.0,top
C65,-111.76,46.355,270.0,top
C66,-28.575,35.56,270.0,top
C67,-44.45,35.56,270.0,top
C68,-66.0,103.0,90.0,top
C69,-60.75,103.0,90.0,top
C7,-116.84,33.02,270.0,top
C70,-71.75,103.0,90.0,top
C71,-6.223,50.292,180.0,top
C8,-105.41,33.02,270.0,top
C9,-36.068,89.4588,90.0,top
CDONE0,-25.7325,210.185,0.0,top
D1,-8.1026,166.3954,90.0,top
D2,-45.7,194.195,180.0,top
D3,-40.62,194.195,180.0,top
D4,-35.54,194.195,180.0,top
